route,canonical_route,alias_group_size,route_type,source_file,line,block_start_line,aliases
bilibili://cliparea/video_cover_thumbnail,bilibili://cliparea/video_cover_thumbnail,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ab.smali,437,433,"[""bilibili://cliparea/video_cover_thumbnail""]"
bilibili://collectcard/half/mall,bilibili://collectcard/half/mall,1,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,4882,4878,"[""bilibili://collectcard/half/mall""]"
bilibili://column/column-author-space,bilibili://column/column-author-space,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/cr.smali,882,878,"[""bilibili://column/column-author-space"", ""bilibili://article/column-author-space-fragment""]"
bilibili://column/favorite/article,bilibili://column/favorite/article,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/cr.smali,537,533,"[""bilibili://column/favorite/article""]"
bilibili://comic/favorite/list,bilibili://comic/favorite/list,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/hw.smali,903,899,"[""bilibili://comic/favorite/list""]"
bilibili://comment/detail/{type}/{oid}/{commentId},activity://comment2/detail,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,842,834,"[""activity://comment2/detail"", ""bilibili://comment/detail/{type}/{oid}/{commentId}""]"
bilibili://comment/half_web,bilibili://comment/half_web,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,1244,1240,"[""bilibili://comment/half_web""]"
bilibili://comment/msg_fold/{type}/{oid}/{commentId}/{cardId},bilibili://comment/msg_fold/{type}/{oid}/{commentId}/{cardId},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,1048,1044,"[""bilibili://comment/msg_fold/{type}/{oid}/{commentId}/{cardId}""]"
bilibili://comment2/delete-history,bilibili://comment2/delete-history,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,762,758,"[""bilibili://comment2/delete-history""]"
bilibili://comment2/detail,bilibili://comment2/detail,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,912,908,"[""bilibili://comment2/detail""]"
bilibili://comment2/dialogue,bilibili://comment2/intent-dialogue,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,982,974,"[""bilibili://comment2/intent-dialogue"", ""bilibili://comment2/dialogue""]"
bilibili://comment2/holder-page,bilibili://comment2/holder-page,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,1114,1110,"[""bilibili://comment2/holder-page""]"
bilibili://comment2/intent-dialogue,bilibili://comment2/intent-dialogue,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,978,974,"[""bilibili://comment2/intent-dialogue"", ""bilibili://comment2/dialogue""]"
bilibili://comment2/list/filter/{name},bilibili://comment2/list/filter/{name},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,1179,1175,"[""bilibili://comment2/list/filter/{name}""]"
bilibili://comment2/main,bilibili://comment2/main,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/zw.smali,1309,1305,"[""bilibili://comment2/main""]"
bilibili://comment3/detail,bilibili://comment3/detail,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/px.smali,341,337,"[""bilibili://comment3/detail"", ""bilibili://comment3/detail/{oid}/{type}/{root_id}""]"
bilibili://comment3/detail/{oid}/{type}/{root_id},bilibili://comment3/detail,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/px.smali,345,337,"[""bilibili://comment3/detail"", ""bilibili://comment3/detail/{oid}/{type}/{root_id}""]"
bilibili://comment3/dialog,bilibili://comment3/dialog,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/px.smali,414,410,"[""bilibili://comment3/dialog"", ""bilibili://comment3/dialog/{oid}/{type}/{root_id}/{dialog_id}""]"
bilibili://comment3/dialog/{oid}/{type}/{root_id}/{dialog_id},bilibili://comment3/dialog,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/px.smali,418,410,"[""bilibili://comment3/dialog"", ""bilibili://comment3/dialog/{oid}/{type}/{root_id}/{dialog_id}""]"
bilibili://comment3/half-web,bilibili://comment3/half-web,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/px.smali,483,479,"[""bilibili://comment3/half-web""]"
bilibili://comment3/main,bilibili://comment3/main,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/px.smali,261,257,"[""bilibili://comment3/main"", ""bilibili://comment3/main/{oid}/{type}""]"
bilibili://comment3/main/{oid}/{type},bilibili://comment3/main,2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/px.smali,265,257,"[""bilibili://comment3/main"", ""bilibili://comment3/main/{oid}/{type}""]"
bilibili://debugenv/settings,bilibili://debugenv/settings,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l4.smali,261,257,"[""bilibili://debugenv/settings""]"
bilibili://debugenv/settings/dblconfig,bilibili://debugenv/settings/dblconfig,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/lt.smali,159,155,"[""bilibili://debugenv/settings/dblconfig""]"
bilibili://debugger/account/sms,bilibili://debugger/account/sms,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/j1.smali,1718,1714,"[""bilibili://debugger/account/sms""]"
bilibili://debugger/bh/main,bilibili://debugger/bh/main,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,4527,4523,"[""bilibili://debugger/bh/main""]"
bilibili://debugger/setting/api,bilibili://debugger/setting/api,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/lt.smali,235,231,"[""bilibili://debugger/setting/api""]"
bilibili://debugger/setting/brpc,bilibili://debugger/setting/brpc,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,1324,1320,"[""bilibili://debugger/setting/brpc""]"
bilibili://debugger/setting/http-scheme-check,bilibili://debugger/setting/http-scheme-check,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,5260,5256,"[""bilibili://debugger/setting/http-scheme-check""]"
bilibili://debugger/setting/mod,bilibili://debugger/setting/mod,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,5326,5322,"[""bilibili://debugger/setting/mod""]"
bilibili://debugger/setting/neuron,bilibili://debugger/setting/neuron,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,1400,1396,"[""bilibili://debugger/setting/neuron""]"
bilibili://debugger/setting/oaid,bilibili://debugger/setting/oaid,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l4.smali,548,544,"[""bilibili://debugger/setting/oaid""]"
